id,title,lemmatized,sentiment_lemm,fear,anger,anticipation,surprise,sadness,joy,disgust,positive,negative
13785,Best in Show,illinois pet shop poodle independent film mockumentary terrier kimono pet deserve little respect others comedy iso_3166_1 u name united state america english,tension palpable excitement mounting heady scent competition air hundred eager contestant across america prepare take part undoubtedly one greatest event life mayflower dog show canine contestant owner wondrously diverse great country bred comedy illinois pet shop poodle independent film mockumentary terrier kimono,0.0,0.05,0.2,0.15,0.0,0.1,0.0,0.2,0.2
13788,The Unborn,evil anything live horror thriller mystery iso_3166_1 u name united state america english,young woman fight spirit slowly taking possession horror thriller mystery,0.15,0.15,0.1,0.15,0.05,0.05,0.1,0.1,0.15
13805,Disaster Movie,natural disaster violence mortal danger duringcreditsstinger favorite movie going destroyed action comedy iso_3166_1 u name united state america english,disaster movie filmmaking team behind hit scary movie date movie epic movie meet spartan time put unique inimitable stamp one biggest bloated movie genre time disaster film action comedy natural disaster violence mortal danger duringcreditsstinger,0.1282051282051282,0.1282051282051282,0.0512820512820512,0.1025641025641025,0.1282051282051282,0.0,0.1025641025641025,0.1025641025641025,0.2051282051282051
13807,Exiled,nd action crime thriller iso_3166_1 hk name hong kong chinese,friendship formed exgangster two group hitman want protect sent kill action crime thriller,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.3,0.2
13809,RockNRolla,london england gang leader money gang crime story sex thug rock n roll action crime thriller iso_3166_1 gb name united kingdom english,russian mobster set real estate scam generates million pound various member london criminal underworld pursue share fortune various shady character including mr onetwo stella accountant johnny quid druggie rockstar try claim slice action crime thriller london england gang leader money gang crime,0.1,0.175,0.075,0.05,0.0,0.075,0.025,0.175,0.175
13811,Knowing,cataclysm code suspense end world time capsule astrophysicist grieving widower lexington massachusetts westford massachusetts prediction researcher number news knowing everything action adventure drama mystery science fiction thriller iso_3166_1 gb name united kingdom iso_3166_1 u name united state america iso_3166_1 au name australia english,teacher open time capsule dug son elementary school chilling prediction already occurred others lead believe family play role event unfold action adventure drama mystery science fiction thriller cataclysm code suspense end world time capsule astrophysicist grieving widower lexington massachusetts westford massachusetts prediction researcher number news,0.0526315789473684,0.0,0.4210526315789473,0.1052631578947368,0.0526315789473684,0.0,0.0,0.2631578947368421,0.0
13812,Quarantine,quarantine remake tv reporter found footage virus contain truth horror science fiction thriller iso_3166_1 u name united state america english,television reporter cameraman trapped inside building quarantined cdc outbreak mysterious virus turn human bloodthirsty killer horror science fiction thriller quarantine remake tv reporter found footage virus,0.16,0.08,0.04,0.08,0.04,0.04,0.08,0.2,0.16
13816,Idlewild,mortician tied chair song dance piano lesson fisticuffs talking dead closeup nd crime drama music iso_3166_1 u name united state america english,musical set prohibitionera american south speakeasy performer club manager rooster must contend gangster eye club piano player partner percival must choose love angel obligation father crime drama music mortician tied chair song dance piano lesson fisticuffs talking dead closeup,0.0,0.0689655172413793,0.1034482758620689,0.0689655172413793,0.0689655172413793,0.1724137931034483,0.0,0.2758620689655172,0.0689655172413793
13820,Repo Man,california cocaine future punk theory music police cult rocker ufo surrealism alien independent film conspiracy torture scientist violence killer cult film repossession 4 know car comedy crime science fiction thriller iso_3166_1 u name united state america english,young punk get job working seasoned repo man awaits new career series outlandish adventure revolving around alien cia wanted 64 chevy comedy crime science fiction thriller california cocaine future punk theory music police cult rocker ufo surrealism alien independent film conspiracy torture scientist violence killer cult film repossession,0.1632653061224489,0.0612244897959183,0.1224489795918367,0.0204081632653061,0.0816326530612244,0.0408163265306122,0.0612244897959183,0.1836734693877551,0.1836734693877551
13824,Superstar,dare dream comedy family iso_3166_1 ca name canada english,orphan mary katherine gallagher ugly duckling st monica high school dream kissed soulfully decides realize dream becomes superstar prayer fantasy conversation friend focus achieving superstardom comedy family,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.2307692307692307,0.1538461538461538
